SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2608836632,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836633,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836634,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836639,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836640,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836641,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836642,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836644,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836645,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836646,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836647,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836648,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836649,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836650,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836651,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836652,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833889,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833890,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833891,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833892,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833893,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833894,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833895,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833896,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833897,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833899,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833900,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833902,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833903,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833904,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833905,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833906,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833907,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900076,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900092,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900095,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900101,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900106,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900112,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900123,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900129,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900136,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900140,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900141,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900144,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900176,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900178,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900179,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900180,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900181,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900183,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900184,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900185,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900186,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900187,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900188,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900189,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900190,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608833802,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833811,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833820,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833828,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833898,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833901,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833908,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900061,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900085,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608836609,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900569,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608902346,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900570,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608902347,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900571,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608902348,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900572,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900573,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900574,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900575,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608902353,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608900577,4.06E+17,,,,,,,,,,,,,,,,,,,,,
