EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4550170445799,113.99,B07XD38795,"#642.636, (Sport & Freizeit)",-29.33 ,"-28,41 %"
'4524667851349,39.99,B01HI6RFFQ,"#471.222, (Sport & Freizeit)",-6.30 ,"-14,00 %"
',6.99,B0BVGQV874,"#26.071, (Fashion)",1.40 ,"8,75 %"
'710845872495,99.99,B0972HSHQY,"#947.503, (Sport & Freizeit)",-20.61 ,"-21,05 %"
'710845872372,99.99,B07PYYPG99,-,-87.66 ,"-8.765,66 %"
'4550170447625,27.99,B08637RHMQ,"#9.819, (Sport & Freizeit)",-10.61 ,"-42,47 %"
'4250589499863,33.99,B08HVP5S3S,"#564.621, (Sport & Freizeit)",-32.15 ,"-3.215,39 %"
',3.99,B0BVGQV874,"#26.071, (Fashion)",3.92 ,"24,51 %"
'4550170442255,47.99,B07SRFDRBQ,"#145.937, (Sport & Freizeit)",-10.04 ,"-20,12 %"
'4550170442248,49.99,B07SRGV27G,"#12.218, (Sport & Freizeit)",-45.25 ,"-4.524,77 %"
'4550170442187,49.99,B07SSG18RT,"#12.218, (Sport & Freizeit)",-45.25 ,"-4.525,38 %"
'4524667646280,119.99,B07216BYS2,"#9.654, (Sport & Freizeit)",-28.43 ,"-25,64 %"
',37.99,B0BVGQV874,"#26.071, (Fashion)",-24.65 ,"-154,17 %"
',28.99,B0BVGQV874,"#26.071, (Fashion)",-17.09 ,"-106,89 %"
'4524667513971,53.99,B01H5HDWC8,"#217.461, (Sport & Freizeit)",-15.63 ,"-31,26 %"
',699.99,B0BVGQV874,"#26.071, (Fashion)",-580.96 ,"-3.633,28 %"
',3999.99,B0BVGQV874,"#26.071, (Fashion)",-3.354.07 ,"-20.976,05 %"
'4712878782273,3399.99,B0BD3LG4YK,-,-2.849.53 ,"-18.746,89 %"
'4524667354635,49.99,B00WLFULME,"#107.232, (Sport & Freizeit)",-15.72 ,"-34,94 %"
'4524667354697,49.99,B00WLFUOTO,"#949.330, (Sport & Freizeit)",-8.59 ,"-15,70 %"
'4524667354680,50.99,B00WLFU0ES,"#602.469, (Sport & Freizeit)",-13.66 ,"-29,07 %"
'4524667354628,49.99,B00WLFV53S,"#487.743, (Sport & Freizeit)",-18.59 ,"-46,56 %"
'4524667240945,63.99,B071JT5C1W,"#86.479, (Sport & Freizeit)",-26.39 ,"-57,38 %"
'4524667623267,59.99,B071JT5Y5M,"#170.545, (Sport & Freizeit)",-9.71 ,"-14,88 %"
',29.99,B0BVGQV874,"#26.071, (Fashion)",-17.93 ,"-112,14 %"
',44.99,B0BVGQV874,"#26.071, (Fashion)",-30.54 ,"-191,00 %"
',37.99,B0BVGQV874,"#26.071, (Fashion)",-24.65 ,"-154,17 %"
',42.99,B0BVGQV874,"#26.071, (Fashion)",-28.86 ,"-180,49 %"
',19.99,B0BVGQV874,"#26.071, (Fashion)",-9.53 ,"-59,61 %"
',19.99,B0BVGQV874,"#26.071, (Fashion)",-9.53 ,"-59,61 %"
'4550170448455,172.99,B07RPMRQDD,-,-21.89 ,"-11,84 %"
'4550170448790,159.99,B07RVYR1WT,-,-30.19 ,"-18,99 %"
'4550170444181,89.99,B07STHTXM1,"#51.177, (Sport & Freizeit)",-79.22 ,"-7.921,91 %"
'4550170686734,107.99,B08NJZXGTK,-,-31.19 ,"-31,19 %"
'4550170445904,107.99,B07WTD432Q,"#408.747, (Sport & Freizeit)",-20.40 ,"-18,72 %"
'4550170445881,99.99,B07WV8X9FT,"#551.009, (Sport & Freizeit)",-19.80 ,"-19,80 %"
'4550170447823,49.99,B07SWR858W,"#91.565, (Sport & Freizeit)",-17.10 ,"-39,77 %"
'4550170447830,49.99,B07SSGMG7Q,"#15.385, (Sport & Freizeit)",-15.74 ,"-35,02 %"
'4550170447380,139.99,B07XBZDJJ9,"#441.279, (Sport & Freizeit)",-15.51 ,"-10,01 %"
'4550170899585,94.99,B08WJ7NH4Q,"#68.043, (Sport & Freizeit)",-22.43 ,"-24,92 %"
'4524667903901,17.99,B00QH7WL9I,"#70.832, (Sport & Freizeit)",-2.29 ,"-9,77 %"
'4550170504854,72.99,B0827X375M,"#91.018, (Sport & Freizeit)",-27.85 ,"-51,58 %"
'4524667341017,55.99,B07H2PQ559,"#53.848, (Sport & Freizeit)",-16.30 ,"-32,61 %"
',55.99,B0BVGQV874,"#26.071, (Fashion)",-39.78 ,"-248,79 %"
',319.99,B0BVGQV874,"#26.071, (Fashion)",-261.63 ,"-1.636,22 %"
'4524667741541,189.99,B01IQL299E,"#21.326, (Sport & Freizeit)",-47.73 ,"-28,24 %"
'4524667741800,164.99,B01IQL2822,"#21.326, (Sport & Freizeit)",-29.48 ,"-17,87 %"
'4550170442996,191.99,B07XD36T3W,"#608.703, (Sport & Freizeit)",-32.23 ,"-16,61 %"
